# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep 10 18:23:25 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal]
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN sy_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
# COLUMN st_nphot:       Number of Photometry Time Series
# COLUMN st_nspec:       Number of Stellar Spectra Measurements
# COLUMN pl_nespec:      Number of Emission Spectroscopy Measurements
#
pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,st_nphot,st_nspec,pl_nespec
11 Com b,11 Com,b,2,1,0,0,2007,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,19.100000,0.231000,,,,,0,,,,,,,2452899.600000,94.8000,302.800,,,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,,1.2000,,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,140.3836266,-109.2410000,88.1701000,93.1846000,10.7104000,5.7260000,4.7230700,2.9430000,2.4840000,2.2820000,,,,,,0.6390000,0.7320000,2.3580000,2.2700000,4.4403800,3.8379000,,1,0,0
11 UMi b,11 UMi,b,1,1,0,0,2009,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,13.800000,0.080000,,,,,0,,,,,,,2452861.040000,117.6300,189.700,,,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],2.400,1.93,1.560,,1.5000,,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,10.6790187,3.4299600,10.1132000,125.3210000,7.9538800,6.3820000,5.0130000,2.8760000,2.0910000,1.9390000,,,,,,-0.2900000,0.1430000,1.8940000,1.7870000,4.5621600,3.8229400,,1,0,0
14 And b,14 And,b,1,1,0,0,2008,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,3.900000,0.000000,,,,,0,,,,,,,2452861.400000,0.0000,100.000,,,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,,,2.6000,,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,299.2526179,287.2920000,-83.7582000,75.4392000,13.2289000,6.2560000,5.2313300,3.0190000,2.6080000,2.3310000,,,,,,,,,,4.9178100,4.3214000,,1,0,0
14 Her b,14 Her,b,1,1,0,0,2002,1773.40002000,2.930000,12.900,1.150,1481.08780,4.66000,3.790000,0.370000,,,,,0,,,,,,,2451372.700000,22.6000,90.000,,,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],-0.153,4.45,3.900,1.27393,1.0000,,-13.82,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,324.5303062,132.0190000,-296.4640000,17.9323000,55.7363000,7.4950000,6.6193500,5.1580000,4.8030000,4.7140000,,,,,,,,,,6.3830000,5.8631000,,1,1,0
16 Cyg B b,16 Cyg B,b,3,1,0,0,1996,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,1.260000,0.680000,,,,,0,,,,,,,2450539.300000,83.4000,50.500,,,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],0.097,4.36,,1.01103,2.7000,,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,211.1222128,-134.7910000,-162.4930000,21.1397000,47.2754000,6.8760000,6.2150000,4.9930000,4.6950000,4.6510000,,,,,,4.7730000,4.5680000,4.9260000,4.7130000,6.0642800,5.6281000,6.095,1,3,0
18 Del b,18 Del,b,2,1,0,0,2008,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,9.210000,0.080000,,,,,0,,,,,,,2451672.000000,166.1000,119.400,,,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,,,,,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,60.6038527,-50.0335000,-34.1976000,76.2220000,13.0922000,6.4300000,5.5104800,4.0320000,3.4400000,3.3660000,,,,,,3.3700000,2.9310000,3.3550000,3.3080000,5.2747600,4.7181000,,1,0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,0,0,2008,,330.000000,18.647,1.664,3000.00000,8.00000,2.540000,,,1700,,,0,,,,,,,,,,,,K7 V,4060.00,1.31,0.85,,,-0.370,4.00,0.005,0.38789,,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,25.3771704,-10.2743000,-23.2043000,139.1350000,7.1594900,14.1680000,12.6180000,9.8200000,9.1210000,8.9160000,,,,,,8.7940000,8.7900000,8.6840000,8.5310000,12.0572000,11.1941000,,0,0,0
24 Boo b,24 Boo,b,1,1,0,0,2018,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,0.592000,0.042000,,,,,0,,,,,,,2450008.600000,210.0000,59.900,,,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,3.3600,,,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,307.6469784,-304.0640000,-46.8161000,95.9863000,10.3900000,6.4390000,5.5900000,3.8450000,3.3400000,3.1590000,,,,,,,,,,5.3339000,4.7812000,,1,0,0
24 Sex b,24 Sex,b,1,2,0,0,2010,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,1.440000,0.090000,,,,,0,,,,,,,2454762.000000,9.2000,40.000,,,,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,74.6277468,65.2199000,-36.2721000,72.0691000,13.8488000,7.3990000,6.4535000,5.2920000,4.4860000,4.2850000,,,,,,4.0940000,3.5980000,4.2540000,4.2010000,6.2037400,5.6416000,,1,1,0
24 Sex c,24 Sex,c,1,2,0,0,2010,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,0.559000,0.290000,,,,,0,,,,,,,2454930.000000,220.5000,14.500,,,,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,2.7700,,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,74.6277468,65.2199000,-36.2721000,72.0691000,13.8488000,7.3990000,6.4535000,5.2920000,4.4860000,4.2850000,,,,,,4.0940000,3.5980000,4.2540000,4.2010000,6.2037400,5.6416000,,1,1,0
